age,fnlwgt,education,educational-num,race,gender,capital-gain,capital-loss,hours-per-week,income,workclass,marital-status,occupation,native-country,relationship
25,226802,6,7,Black,Male,0,0,40,0,4,4,7,39,5
38,89814,8,9,White,Male,0,0,50,0,4,2,5,39,4
28,336951,10,12,White,Male,0,0,40,1,2,2,11,39,4
44,160323,12,10,Black,Male,7688,0,40,1,4,2,7,39,4
18,103497,12,10,White,Female,0,0,30,0,0,4,0,39,5
34,198693,5,6,White,Male,0,0,30,0,4,4,8,39,1
29,227026,8,9,Black,Male,0,0,40,0,0,4,0,39,2
63,104626,9,15,White,Male,3103,0,32,1,6,2,10,39,4
24,369667,12,10,White,Female,0,0,40,0,4,4,8,39,2
55,104996,3,4,White,Male,0,0,10,0,4,2,3,39,4
65,184454,8,9,White,Male,6418,0,40,1,4,2,7,39,4
36,212465,13,13,White,Male,0,0,40,0,1,2,1,39,4
26,82091,8,9,White,Female,0,0,39,0,4,4,1,39,1
58,299831,8,9,White,Male,0,0,35,0,0,2,0,39,4
48,279724,8,9,White,Male,3103,0,48,1,4,2,7,39,4
43,346189,14,14,White,Male,0,0,50,1,4,2,4,39,4
20,444554,12,10,White,Male,0,0,25,0,7,4,8,39,5
43,128354,8,9,White,Female,0,0,30,0,4,2,1,39,3
37,60548,8,9,White,Female,0,0,20,0,4,6,7,39,2
40,85019,15,16,Asian-Pac-Islander,Male,0,0,45,1,4,2,10,0,4
34,107914,13,13,White,Male,0,0,47,1,4,2,13,39,4
34,238588,12,10,Black,Female,0,0,35,0,4,4,8,39,5
72,132015,3,4,White,Female,0,0,6,0,0,0,0,39,1
25,220931,13,13,White,Male,0,0,43,0,4,4,10,29,1
25,205947,13,13,White,Male,0,0,40,0,4,2,10,39,4
45,432824,8,9,White,Male,7298,0,90,1,6,2,3,39,4
22,236427,8,9,White,Male,0,0,20,0,4,4,1,39,5
23,134446,8,9,Black,Male,0,0,54,0,4,5,7,39,2
54,99516,8,9,White,Male,0,0,35,0,4,2,3,39,4
32,109282,12,10,White,Male,0,0,60,0,6,4,10,39,1
46,106444,12,10,Black,Male,7688,0,38,1,7,2,4,39,4
56,186651,6,7,White,Female,0,0,50,0,6,6,8,39,2
24,188274,13,13,White,Male,0,0,50,0,6,4,12,39,1
23,258120,12,10,White,Male,0,0,40,0,2,2,11,39,4
26,43311,8,9,White,Female,0,0,40,0,4,0,4,39,2
65,191846,8,9,White,Male,0,0,40,0,0,2,0,39,4
36,403681,13,13,White,Male,0,0,40,1,2,2,10,39,4
22,248446,2,3,White,Male,0,0,50,0,4,4,9,13,1
17,269430,5,6,White,Male,0,0,40,0,4,4,7,39,1
20,257509,8,9,White,Male,0,0,40,0,4,4,3,39,5
65,136384,14,14,White,Male,0,0,50,1,4,2,10,39,4
44,120277,11,11,White,Male,0,0,45,1,5,2,12,39,4
36,465326,8,9,White,Male,0,0,40,0,4,2,5,39,4
29,103634,6,7,White,Male,0,0,40,0,4,2,8,39,4
20,138371,12,10,White,Male,0,0,32,0,7,4,5,39,5
28,242832,11,11,White,Female,0,0,36,1,4,2,10,39,3
39,290208,3,4,White,Male,0,0,40,0,4,2,3,26,4
54,186272,12,10,White,Male,3908,0,50,0,4,2,14,39,4
52,201062,6,7,Black,Female,0,0,18,0,4,5,9,39,1
56,131916,8,9,White,Female,0,0,50,0,5,6,4,39,1
