Name,Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Platform,Genre
Wii Sports,2006.0,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,26,10
Super Mario Bros.,1985.0,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,,11,4
Mario Kart Wii,2008.0,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,26,6
Wii Sports Resort,2009.0,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,26,10
Pokemon Red/Pokemon Blue,1996.0,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,5,7
Tetris,1989.0,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,,,5,5
New Super Mario Bros.,2006.0,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,4,4
Wii Play,2006.0,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,26,3
New Super Mario Bros. Wii,2009.0,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,26,4
Duck Hunt,1984.0,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,11,8
Nintendogs,2005.0,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,,4,9
Mario Kart DS,2005.0,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,4,6
Pokemon Gold/Pokemon Silver,1999.0,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,,5,7
Wii Fit,2007.0,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,26,10
Kinect Adventures!,2010.0,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,28,3
Wii Fit Plus,2009.0,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,26,10
Grand Theft Auto V,2013.0,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,17,0
Grand Theft Auto: San Andreas,2004.0,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,16,0
Super Mario World,1990.0,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,,23,4
Brain Age: Train Your Brain in Minutes a Day,2005.0,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,4,3
Pokemon Diamond/Pokemon Pearl,2006.0,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,,4,7
Super Mario Land,1989.0,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,,5,4
Super Mario Bros. 3,1988.0,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,,11,4
Grand Theft Auto V,2013.0,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,28,0
Grand Theft Auto: Vice City,2002.0,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,16,0
Pokemon Ruby/Pokemon Sapphire,2002.0,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,,6,7
Brain Age 2: More Training in Minutes a Day,2005.0,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,4,5
Pokemon Black/Pokemon White,2010.0,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,,4,7
Gran Turismo 3: A-Spec,2001.0,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,16,6
Call of Duty: Modern Warfare 3,2011.0,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,28,8
Pokémon Yellow: Special Pikachu Edition,1998.0,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,5,7
Call of Duty: Black Ops 3,2015.0,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,18,8
Call of Duty: Black Ops,2010.0,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,28,8
Pokemon X/Pokemon Y,2013.0,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,2,7
Call of Duty: Black Ops II,2012.0,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,17,8
Call of Duty: Black Ops II,2012.0,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,28,8
Call of Duty: Modern Warfare 2,2009.0,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,28,8
Call of Duty: Modern Warfare 3,2011.0,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,17,8
Grand Theft Auto III,2001.0,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,16,0
Super Smash Bros. Brawl,2008.0,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,26,2
Mario Kart 7,2011.0,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,2,6
Call of Duty: Black Ops,2010.0,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,17,8
Grand Theft Auto V,2014.0,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,18,0
Animal Crossing: Wild World,2005.0,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,4,9
Halo 3,2007.0,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,28,8
Super Mario 64,1996.0,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,10,4
Pokemon HeartGold/Pokemon SoulSilver,2009.0,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,4,0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,2,7
Gran Turismo 4,2004.0,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,16,6
Super Mario Galaxy,2007.0,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,26,4
Super Mario Land 2: 6 Golden Coins,1992.0,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,5,1
Grand Theft Auto IV,2008.0,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,28,0
Gran Turismo,1997.0,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,15,6
Super Mario 3D Land,2011.0,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,2,4
Gran Turismo 5,2010.0,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,17,6
